housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,3,3,1,0,ikoyi,"Ikoyi, Lagos",18000000,25,eti osa
flat / apartment,4,4,1,4,ikoyi,"Luxury 4 Bedrooms Apartment With A Bq To Let4 BEDROOM BLOCK OF FLATS FOR RENT Ikoyi Banana Island Ikoyi Lagos   Updated 09 Oct 2022,  25 Jun 2022",18000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,"Luxury 3bedroom Flat Built In The Hearth Of Ikoyi For Rent3 BEDROOM FLAT & APARTMENT FOR RENT Old Ikoyi Ikoyi Ikoyi Lagos   Updated 05 Oct 2022,  31 May 2022",18000000,25,eti osa
penthouse,4,4,1,4,ikoyi,"Serviced 4 Bedroom Penthouse4 BEDROOM FLAT & APARTMENT FOR RENT Bourdillon Ikoyi Ikoyi Lagos   Updated 05 Oct 2022,  22 Mar 2022",18000000,25,eti osa
flat / apartment,3,3,1,3,victoria island,"Luxury Furnished Apartment3 BEDROOM FLAT & APARTMENT FOR RENT Adeola Odeku Victoria Island Victoria Island Lagos   Updated 05 Oct 2022,  05 Aug 2022",18000000,51,eti osa
flat / apartment,4,4,1,4,ikoyi,"Large 4 Bedroom Luxury Apartment4 BEDROOM FLAT & APARTMENT FOR RENT Thompson Ikoyi Ikoyi Lagos   Updated 05 Oct 2022,  03 Aug 2022",18000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,"Newly Built 3 Bedroom Apartment For Lease Off Bourdillon3 BEDROOM FLAT & APARTMENT FOR RENT Old Ikoyi Ikoyi Ikoyi Lagos   Updated 05 Oct 2022,  17 Aug 2022",18000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,"Exquisitely Finished Fully Serviced 3 Bedroom Flat3 BEDROOM FLAT & APARTMENT FOR RENT Old Ikoyi Ikoyi Ikoyi Lagos   Updated 05 Oct 2022,  03 Aug 2022",18000000,25,eti osa
flat / apartment,4,4,1,4,ikoyi,"Luxury 4 Bedroom Apartment With Excellent Facilities4 BEDROOM FLAT & APARTMENT FOR RENT Banana Island Ikoyi Lagos   Updated 05 Oct 2022,  25 Aug 2022",18000000,25,eti osa
flat / apartment,3,3,1,3,ikoyi,Massive Luxury 3 Bedroom Maisonette With Excellent Facilities3 BEDROOM FLAT & APARTMENT FOR RENT Residential Zone Banana Island Ikoyi Lagos 19 Sep 2022,18000000,25,eti osa
flat / apartment,4,4,1,4,ikoyi,"Recently Renovated City View Block Of 4 Bedroom Apartments+bq+pool Etc4 BEDROOM FLAT & APARTMENT FOR RENT Banana Island Estate Banana Island Ikoyi Lagos   Updated 17 Sep 2022,  23 Dec 2021",18000000,25,eti osa
penthouse,4,4,1,4,ikoyi,"Prince Ademola Osinuga Well Sized 4 Bedroom Penthouse Apartment +2 Rooms Bq @n18m4 BEDROOM FLAT & APARTMENT FOR RENT Banana Island Estate Banana Island Ikoyi Lagos   Updated 17 Sep 2022,  02 Feb 2021",18000000,25,eti osa
flat / apartment,2,2,1,2,ikoyi,"Class Leading 2 Bedroom Apartment +tennis+pool Etc @n18m2 BEDROOM FLAT & APARTMENT FOR RENT Central Ikoyi Ikoyi Ikoyi Lagos   Updated 17 Sep 2022,  23 Oct 2021",18000000,25,eti osa
flat / apartment,2,2,1,2,ikoyi,"Direct Cash Ready Clients Only Outstanding 2 Bedroom Apartment + Tennis + Bq +gym Etc @n18m2 BEDROOM FLAT & APARTMENT FOR RENT Central Ikoyi Ikoyi Ikoyi Lagos   Updated 17 Sep 2022,  02 Jun 2021",18000000,25,eti osa
